Estación;latitude;longitude;Variable;Dia;Valor_max;Valor_mean;Valor_min
CAI 20 de Julio;4.572588;-74.092548;L10;Monday;100.9;54.246048766776035;6.2
CAI 20 de Julio;4.572588;-74.092548;L10;Tuesday;96.6;54.72643413007136;5.5
CAI 20 de Julio;4.572588;-74.092548;L10;Wednesday;109.0;54.75081612991936;5.7
CAI 20 de Julio;4.572588;-74.092548;L10;Thursday;94.4;54.74562065541085;5.5
CAI 20 de Julio;4.572588;-74.092548;L10;Friday;98.8;54.92740793809913;6.6
CAI 20 de Julio;4.572588;-74.092548;L10;Saturday;96.8;55.11376008064423;6.5
CAI 20 de Julio;4.572588;-74.092548;L10;Sunday;104.1;53.78998877350489;5.9
CAI 20 de Julio;4.572588;-74.092548;L50;Monday;91.9;47.66216380952288;5.9
CAI 20 de Julio;4.572588;-74.092548;L50;Tuesday;90.7;48.15979602549603;5.5
CAI 20 de Julio;4.572588;-74.092548;L50;Wednesday;95.1;48.119839874410765;3.8
CAI 20 de Julio;4.572588;-74.092548;L50;Thursday;87.8;48.11847523650469;5.5
CAI 20 de Julio;4.572588;-74.092548;L50;Friday;91.1;48.41347096978269;5.9
CAI 20 de Julio;4.572588;-74.092548;L50;Saturday;89.5;48.87414568911146;6.5
CAI 20 de Julio;4.572588;-74.092548;L50;Sunday;94.5;47.39710614866814;5.9
CAI 20 de Julio;4.572588;-74.092548;L90;Monday;85.4;42.86441992832518;3.6
CAI 20 de Julio;4.572588;-74.092548;L90;Tuesday;87.2;43.320056976097284;3.4
CAI 20 de Julio;4.572588;-74.092548;L90;Wednesday;94.1;43.489391687310494;3.0
CAI 20 de Julio;4.572588;-74.092548;L90;Thursday;84.1;43.42856007944298;3.1
CAI 20 de Julio;4.572588;-74.092548;L90;Friday;85.1;43.80861298180253;3.2
CAI 20 de Julio;4.572588;-74.092548;L90;Saturday;87.7;44.48589717741855;4.6
CAI 20 de Julio;4.572588;-74.092548;L90;Sunday;87.3;42.94994386752639;4.2
CAI 20 de Julio;4.572588;-74.092548;Leq;Monday;90.2;51.484703856948485;6.3
CAI 20 de Julio;4.572588;-74.092548;Leq;Tuesday;87.4;52.01273031586257;5.6
CAI 20 de Julio;4.572588;-74.092548;Leq;Wednesday;91.4;52.02131361214994;5.8
CAI 20 de Julio;4.572588;-74.092548;Leq;Thursday;78.7;51.962080144867535;5.6
CAI 20 de Julio;4.572588;-74.092548;Leq;Friday;86.9;52.172961531653776;6.7
CAI 20 de Julio;4.572588;-74.092548;Leq;Saturday;79.8;52.40858485531382;6.6
CAI 20 de Julio;4.572588;-74.092548;Leq;Sunday;80.7;51.11074049462553;6.0
CAI 20 de Julio;4.572588;-74.092548;Lmax;Monday;140.5;73.78203218326301;6.3
CAI 20 de Julio;4.572588;-74.092548;Lmax;Tuesday;139.8;74.4278738187888;5.6
CAI 20 de Julio;4.572588;-74.092548;Lmax;Wednesday;141.2;74.26727360308365;5.8
CAI 20 de Julio;4.572588;-74.092548;Lmax;Thursday;133.8;74.17370407150112;5.6
CAI 20 de Julio;4.572588;-74.092548;Lmax;Friday;134.3;74.43489468405357;6.7
CAI 20 de Julio;4.572588;-74.092548;Lmax;Saturday;129.7;74.58882344470142;6.6
CAI 20 de Julio;4.572588;-74.092548;Lmax;Sunday;136.9;73.36435307325354;6.0
CAI 20 de Julio;4.572588;-74.092548;Lmin;Monday;85.5;36.33378258730951;0.0
CAI 20 de Julio;4.572588;-74.092548;Lmin;Tuesday;83.0;36.82318371317404;0.0
CAI 20 de Julio;4.572588;-74.092548;Lmin;Wednesday;94.2;37.053253509496365;0.0
CAI 20 de Julio;4.572588;-74.092548;Lmin;Thursday;82.5;37.01798978578532;0.5
CAI 20 de Julio;4.572588;-74.092548;Lmin;Friday;84.9;37.44273248316403;2.1
CAI 20 de Julio;4.572588;-74.092548;Lmin;Saturday;87.8;38.241069988479175;2.1
CAI 20 de Julio;4.572588;-74.092548;Lmin;Sunday;85.2;36.7221540836373;0.0
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;Monday;94.3;59.90078529657485;13.7
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;Tuesday;96.6;61.542093352192246;10.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;Wednesday;95.9;60.83036158861846;6.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;Thursday;94.6;61.10376088677743;16.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;Friday;94.5;61.781989528795705;7.9
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;Saturday;94.2;61.580038095238066;18.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;L10;Sunday;93.5;59.32605911330042;8.7
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;Monday;90.3;53.804327485380206;6.9
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;Tuesday;92.0;56.08181046676095;7.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;Wednesday;91.8;55.361778304682815;6.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;Thursday;91.4;55.628477170757435;7.9
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;Friday;90.9;56.45005235602092;7.9
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;Saturday;90.7;56.23394285714289;8.1
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;Sunday;88.2;53.29481116584553;7.9
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;Monday;87.9;48.28061821219706;2.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;Tuesday;89.7;51.27371994342304;2.7
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;Wednesday;89.3;50.615506816834746;2.0
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;Thursday;88.9;50.888361045130495;3.7
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;Friday;88.5;51.80076290201939;5.5
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;Saturday;88.1;51.52091428571424;6.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;Sunday;85.7;47.933251231527045;5.0
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;Monday;76.7;56.694977640178855;15.9
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;Tuesday;77.9;58.485570762958865;10.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;Wednesday;77.7;57.81928240175708;6.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;Thursday;77.6;58.063703099510626;17.1
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;Friday;77.1;58.736787804126706;8.0
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;Saturday;76.2;58.485803921568476;18.5
CAI 7 de Agosto;4.6582300000000005;-74.077138;Leq;Sunday;80.5;56.05224814063571;8.8
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;Monday;119.5;76.92790309106086;20.6
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;Tuesday;125.8;78.21957567185294;10.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;Wednesday;123.5;77.73266152934197;6.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;Thursday;126.5;78.37548165742957;27.6
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;Friday;128.0;78.6145100972328;8.0
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;Saturday;119.9;78.5453142857139;31.7
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmax;Sunday;124.6;76.39522167487677;8.8
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;Monday;84.7;40.36833751044272;1.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;Tuesday;85.9;44.03379066478079;1.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;Wednesday;85.4;43.64072317723772;1.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;Thursday;85.4;43.785563473211994;1.1
CAI 7 de Agosto;4.6582300000000005;-74.077138;Lmin;Friday;87.9;44.73964098728507;1.5
