Estación;latitude;longitude;Variable;Hora;Valor_max;Valor_mean;Valor_min
CAI 20 de Julio;4.572588;-74.092548;L10;0;109.0;49.47640319071793;7.8
CAI 20 de Julio;4.572588;-74.092548;L10;1;98.4;47.086254578754755;5.5
CAI 20 de Julio;4.572588;-74.092548;L10;2;98.4;46.605694816257;7.6
CAI 20 de Julio;4.572588;-74.092548;L10;3;98.1;45.755191044049916;7.9
CAI 20 de Julio;4.572588;-74.092548;L10;4;98.8;49.839120505345065;8.5
CAI 20 de Julio;4.572588;-74.092548;L10;5;96.7;54.01118117875352;10.4
CAI 20 de Julio;4.572588;-74.092548;L10;6;96.4;56.515530266343646;15.0
CAI 20 de Julio;4.572588;-74.092548;L10;7;96.6;56.87973589435745;15.2
CAI 20 de Julio;4.572588;-74.092548;L10;8;98.8;56.5426246973369;14.6
CAI 20 de Julio;4.572588;-74.092548;L10;9;104.1;56.63483016140755;14.2
CAI 20 de Julio;4.572588;-74.092548;L10;10;99.4;57.096082871597424;13.5
CAI 20 de Julio;4.572588;-74.092548;L10;11;98.9;57.42016806722726;14.6
CAI 20 de Julio;4.572588;-74.092548;L10;12;99.7;57.77615180082203;14.7
CAI 20 de Julio;4.572588;-74.092548;L10;13;100.9;57.95641162227635;14.1
CAI 20 de Julio;4.572588;-74.092548;L10;14;98.0;58.039421768707506;14.5
CAI 20 de Julio;4.572588;-74.092548;L10;15;97.1;57.92771428571395;14.6
CAI 20 de Julio;4.572588;-74.092548;L10;16;94.8;57.76503887269231;14.7
CAI 20 de Julio;4.572588;-74.092548;L10;17;96.4;57.72117875333493;15.8
CAI 20 de Julio;4.572588;-74.092548;L10;18;93.1;57.31025776921267;15.3
CAI 20 de Julio;4.572588;-74.092548;L10;19;93.7;56.543743003163726;14.7
CAI 20 de Julio;4.572588;-74.092548;L10;20;91.7;55.62578704826645;12.6
CAI 20 de Julio;4.572588;-74.092548;L10;21;91.5;54.8242759961129;11.4
CAI 20 de Julio;4.572588;-74.092548;L10;22;91.9;53.75927722532172;8.8
CAI 20 de Julio;4.572588;-74.092548;L10;23;96.1;51.863060878001825;9.8
CAI 20 de Julio;4.572588;-74.092548;L50;0;94.6;42.937350746269054;5.7
CAI 20 de Julio;4.572588;-74.092548;L50;1;94.5;40.835216297786886;3.9
CAI 20 de Julio;4.572588;-74.092548;L50;2;94.5;39.435668721522376;3.8
CAI 20 de Julio;4.572588;-74.092548;L50;3;94.4;37.53972661484851;4.5
CAI 20 de Julio;4.572588;-74.092548;L50;4;95.1;41.28006420545766;6.1
CAI 20 de Julio;4.572588;-74.092548;L50;5;90.2;46.626819759679854;7.5
CAI 20 de Julio;4.572588;-74.092548;L50;6;90.5;49.84571962616863;8.9
CAI 20 de Julio;4.572588;-74.092548;L50;7;91.8;50.18954859267181;9.2
CAI 20 de Julio;4.572588;-74.092548;L50;8;91.1;49.934536715620965;9.0
CAI 20 de Julio;4.572588;-74.092548;L50;9;89.7;50.25375799573601;10.3
CAI 20 de Julio;4.572588;-74.092548;L50;10;92.0;50.824758364312466;10.6
CAI 20 de Julio;4.572588;-74.092548;L50;11;91.5;51.29966137566175;10.2
CAI 20 de Julio;4.572588;-74.092548;L50;12;92.1;51.75566374035669;10.2
CAI 20 de Julio;4.572588;-74.092548;L50;13;92.0;52.00389658848647;10.8
