Estación,fecha_hora,weekday,Hora,latitud,longitud,ruido_pred
Calle 106,2020-01-01 00:00:00,3,0,4.69280155,-74.05614686,42.38571163151655
Calle 106,2020-01-01 01:00:00,3,1,4.69280155,-74.05614686,41.75761637081724
Calle 106,2020-01-01 02:00:00,3,2,4.69280155,-74.05614686,41.611666896969666
Calle 106,2020-01-01 03:00:00,3,3,4.69280155,-74.05614686,42.21761245660746
Calle 106,2020-01-01 04:00:00,3,4,4.69280155,-74.05614686,43.74525560304396
Calle 106,2020-01-01 05:00:00,3,5,4.69280155,-74.05614686,49.792654516755604
Calle 106,2020-01-01 06:00:00,3,6,4.69280155,-74.05614686,53.25746571964608
Calle 106,2020-01-01 07:00:00,3,7,4.69280155,-74.05614686,53.513946745276456
Calle 106,2020-01-01 08:00:00,3,8,4.69280155,-74.05614686,53.34596646164109
Calle 106,2020-01-01 09:00:00,3,9,4.69280155,-74.05614686,53.18167001463649
Calle 106,2020-01-01 10:00:00,3,10,4.69280155,-74.05614686,53.38437608691642
Calle 106,2020-01-01 11:00:00,3,11,4.69280155,-74.05614686,53.505487374163046
Calle 106,2020-01-01 12:00:00,3,12,4.69280155,-74.05614686,53.63983557596383
Calle 106,2020-01-01 13:00:00,3,13,4.69280155,-74.05614686,53.852709983553936
Calle 106,2020-01-01 14:00:00,3,14,4.69280155,-74.05614686,53.98664630555659
Calle 106,2020-01-01 15:00:00,3,15,4.69280155,-74.05614686,53.996071804802305
Calle 106,2020-01-01 16:00:00,3,16,4.69280155,-74.05614686,53.81726060613966
Calle 106,2020-01-01 17:00:00,3,17,4.69280155,-74.05614686,53.581820521247764
Calle 106,2020-01-01 18:00:00,3,18,4.69280155,-74.05614686,53.1732095199582
Calle 106,2020-01-01 19:00:00,3,19,4.69280155,-74.05614686,53.089858916676434
Calle 106,2020-01-01 20:00:00,3,20,4.69280155,-74.05614686,51.42382198786031
Calle 106,2020-01-01 21:00:00,3,21,4.69280155,-74.05614686,50.812358790418266
Calle 106,2020-01-01 22:00:00,3,22,4.69280155,-74.05614686,49.48609562597613
Calle 106,2020-01-01 23:00:00,3,23,4.69280155,-74.05614686,47.33447138788822
Calle 106,2020-01-02 00:00:00,4,0,4.69280155,-74.05614686,42.65880258365119
Calle 106,2020-01-02 01:00:00,4,1,4.69280155,-74.05614686,42.02005406044589
Calle 106,2020-01-02 02:00:00,4,2,4.69280155,-74.05614686,41.94470286327913
Calle 106,2020-01-02 03:00:00,4,3,4.69280155,-74.05614686,42.50113977160343
Calle 106,2020-01-02 04:00:00,4,4,4.69280155,-74.05614686,43.72464959818657
Calle 106,2020-01-02 05:00:00,4,5,4.69280155,-74.05614686,49.73937767976402
Calle 106,2020-01-02 06:00:00,4,6,4.69280155,-74.05614686,53.39933810765045
Calle 106,2020-01-02 07:00:00,4,7,4.69280155,-74.05614686,53.683610661289244
Calle 106,2020-01-02 08:00:00,4,8,4.69280155,-74.05614686,53.526327115717145
Calle 106,2020-01-02 09:00:00,4,9,4.69280155,-74.05614686,53.36203066871254
Calle 106,2020-01-02 10:00:00,4,10,4.69280155,-74.05614686,53.57628716025528
Calle 106,2020-01-02 11:00:00,4,11,4.69280155,-74.05614686,53.710418382184784
Calle 106,2020-01-02 12:00:00,4,12,4.69280155,-74.05614686,53.84476658398557
Calle 106,2020-01-02 13:00:00,4,13,4.69280155,-74.05614686,54.06172497744914
Calle 106,2020-01-02 14:00:00,4,14,4.69280155,-74.05614686,54.17404606292645
Calle 106,2020-01-02 15:00:00,4,15,4.69280155,-74.05614686,54.183471562172166
Calle 106,2020-01-02 16:00:00,4,16,4.69280155,-74.05614686,54.02944120477587
Calle 106,2020-01-02 17:00:00,4,17,4.69280155,-74.05614686,53.79400111988397
Calle 106,2020-01-02 18:00:00,4,18,4.69280155,-74.05614686,53.38942371232365
Calle 106,2020-01-02 19:00:00,4,19,4.69280155,-74.05614686,53.32125782197333
Calle 106,2020-01-02 20:00:00,4,20,4.69280155,-74.05614686,51.59493232915757
Calle 106,2020-01-02 21:00:00,4,21,4.69280155,-74.05614686,50.938699989493784
Calle 106,2020-01-02 22:00:00,4,22,4.69280155,-74.05614686,49.57764803136595
Calle 106,2020-01-02 23:00:00,4,23,4.69280155,-74.05614686,47.57998329665962
Calle 106,2020-01-03 00:00:00,5,0,4.69280155,-74.05614686,43.714163478068684
Calle 106,2020-01-03 01:00:00,5,1,4.69280155,-74.05614686,43.04089820524412
Calle 106,2020-01-03 02:00:00,5,2,4.69280155,-74.05614686,43.22674663533004
Calle 106,2020-01-03 03:00:00,5,3,4.69280155,-74.05614686,43.444436437957705
Calle 106,2020-01-03 04:00:00,5,4,4.69280155,-74.05614686,44.465228518663395
Calle 106,2020-01-03 05:00:00,5,5,4.69280155,-74.05614686,50.09677831902573
Calle 106,2020-01-03 06:00:00,5,6,4.69280155,-74.05614686,53.324309533112036
Calle 106,2020-01-03 07:00:00,5,7,4.69280155,-74.05614686,53.68000175459267
Calle 106,2020-01-03 08:00:00,5,8,4.69280155,-74.05614686,53.597871680496525
Calle 106,2020-01-03 09:00:00,5,9,4.69280155,-74.05614686,53.43662698577617
Calle 106,2020-01-03 10:00:00,5,10,4.69280155,-74.05614686,53.6073562074585
Calle 106,2020-01-03 11:00:00,5,11,4.69280155,-74.05614686,53.7194046915413
Calle 106,2020-01-03 12:00:00,5,12,4.69280155,-74.05614686,53.866235822604125
Calle 106,2020-01-03 13:00:00,5,13,4.69280155,-74.05614686,54.00114637250384
Calle 106,2020-01-03 14:00:00,5,14,4.69280155,-74.05614686,54.12169140476968
Calle 106,2020-01-03 15:00:00,5,15,4.69280155,-74.05614686,54.12188286176472
Calle 106,2020-01-03 16:00:00,5,16,4.69280155,-74.05614686,53.97229797169975
Calle 106,2020-01-03 17:00:00,5,17,4.69280155,-74.05614686,53.7259164833724
Calle 106,2020-01-03 18:00:00,5,18,4.69280155,-74.05614686,53.38802751258902
Calle 106,2020-01-03 19:00:00,5,19,4.69280155,-74.05614686,53.48781654083328
Calle 106,2020-01-03 20:00:00,5,20,4.69280155,-74.05614686,51.761491048017504
Calle 106,2020-01-03 21:00:00,5,21,4.69280155,-74.05614686,51.18471918471677
Calle 106,2020-01-03 22:00:00,5,22,4.69280155,-74.05614686,49.78016963950951
Calle 106,2020-01-03 23:00:00,5,23,4.69280155,-74.05614686,47.9412701067503
Calle 106,2020-01-04 00:00:00,6,0,4.69280155,-74.05614686,45.1210863751714
Calle 106,2020-01-04 01:00:00,6,1,4.69280155,-74.05614686,44.905962140426986
Calle 106,2020-01-04 02:00:00,6,2,4.69280155,-74.05614686,45.18126873083943
Calle 106,2020-01-04 03:00:00,6,3,4.69280155,-74.05614686,44.58830835114564
Calle 106,2020-01-04 04:00:00,6,4,4.69280155,-74.05614686,44.67133289291046
Calle 106,2020-01-04 05:00:00,6,5,4.69280155,-74.05614686,49.24818135304275
Calle 106,2020-01-04 06:00:00,6,6,4.69280155,-74.05614686,52.38137446995332
Calle 106,2020-01-04 07:00:00,6,7,4.69280155,-74.05614686,52.887115642015026
Calle 106,2020-01-04 08:00:00,6,8,4.69280155,-74.05614686,52.84511561426446
